simplified_chinese,traditional_chinese,pinyin,english_meaning,part_of_speech,hsk_level,example_sentence_chinese,example_sentence_pinyin,example_sentence_english
招待会,招待會,zhāo dāi huì,"lễ tân/CL:個|个[ge4],次[ci4]",N,7,,,
召集,召集,zhào jí,triệu tập; triệu tập lại với nhau,V,7,,,
照料,照料,zhào liào,chăm sóc/chăm sóc ai đó,V,7,我们需要照料孩子。,Wǒmen xūyào zhàoliào háizi.,Chúng tôi cần chăm sóc trẻ em.
着迷,著迷,zháo mí,bị mê hoặc/bị quyến rũ,,7,她对这个故事着迷。,Tā duì zhège gùshì zháomí.,Cô ấy say mê câu chuyện này.
招牌,招牌,zhāo pái,biển hiệu/biển hiệu cửa hàng/danh tiếng của một doanh nghiệp,N,7,,,
这会儿,這會兒,zhè huì er,(coll.) bây giờ/khoảnh khắc này/cũng pr. [zhe4 hui3 r5],Pron,7,,,
折磨,折磨,zhé mó,hành hạ/tra tấn,V,7,他被折磨得很惨。,Tā bèi zhémó de hěn cǎn.,Anh ấy bị hành hạ rất thảm.
镇定,鎮定,zhèn dìng,bình tĩnh/không bối rối/mát mẻ,Adj/V,7,他镇定自若地处理了问题。,Tā zhèndìng zìruò de chǔlǐle wèntí.,Anh ấy giải quyết vấn đề một cách bình tĩnh.
震,震,zhèn,"rung chuyển/rung động/giật mình/rung chuyển/kích động/sốc/một trong Bát Quái 八卦[ba1 gua4], tượng trưng cho sấm sét/☳",V,7,,,
震动,震動,zhèn dòng,rung lắc/rung động/ảnh hưởng mạnh/sốc/rung động,V,7,,,
震撼,震撼,zhèn hàn,rung chuyển/sốc/choáng váng/sốc/choáng váng/sốc,V,7,,,
诊所,診所,zhěn suǒ,phòng khám,N,7,,,
枕头,枕頭,zhěn tou,cái gối,N,7,,,
真心,真心,zhēn xīn,sự tận tâm; sự chân thành,N,7,,,
振作,振作,zhèn zuò,để tự khích lệ/để tự vực mình dậy/để vui lên/để nâng cao/để kích thích,Adj/V,7,,,
征,"征,徵",zhēng,mời/tuyển dụng/đánh (thuế)/tuyển quân (quân đội)/hiện tượng/triệu chứng/dấu hiệu đặc trưng (được dùng làm bằng chứng)/bằng chứng,V,7,,,
睁,睜,zhēng,mở (mắt),V,7,请睁开眼睛看清楚。,Qǐng zhēng kāi yǎnjīng kàn qīngchǔ.,Xin hãy mở mắt ra để nhìn rõ.
争吵,爭吵,zhēng chǎo,cãi vã/tranh chấp,V,7,,,
拯救,拯救,zhěng jiù,để cứu; để giải cứu,V,7,,,
正面,正面,zhèng miàn,mặt trước/mặt trước/mặt phải/dương/trực tiếp/mở,N/Adj,7,,,
证人,證人,zhèng rén,nhân chứng,N,7,,,
挣扎,掙扎,zhēng zhá,đấu tranh,V,7,他在挣扎中找到了希望。,Tā zài zhēngzhá zhōng zhǎodàole xīwàng.,Anh ấy tìm thấy hy vọng trong sự đấu tranh.
正直,正直,zhèng zhí,ngay thẳng/đứng đắn/trung thực,Adj,7,,,
争执,爭執,zhēng zhí,tranh luận/không đồng ý/tranh luận một cách chủ quan/tranh cãi,V,7,,,
制,"制,製",zhì,sản xuất/làm,V,7,,,
置,置,zhì,cài đặt/đặt/đặt/mua,V,7,,,
治愈,治癒,zhì yù,chữa lành; phục hồi sức khỏe/nâng cao tinh thần; ấm lòng,,7,,,
至关重要,至關重要,zhì guān zhòng yào,cực kỳ quan trọng/cần thiết/cốt yếu/thiết yếu,,7,,,
窒息,窒息,zhì xī,bóp nghẹt/ngạt thở/ngạt thở,V,7,,,
执法,執法,zhí fǎ,để thực thi luật pháp/thực thi pháp luật,V,7,,,
制服,制服,zhì fú,"chế ngự/kiểm tra/kiểm soát/(trước đây) những gì được phép mặc tùy theo địa vị xã hội/đồng phục (quân đội, đảng, trường học, v.v.)/đồng phục (cho nhân viên công ty)/CL:套[tao4]",N,7,他穿着制服去上班。,Tā chuānzhuó zhìfú qù shàngbān.,Anh ấy mặc đồng phục đi làm.
直觉,直覺,zhí jué,trực giác,N,7,,,
知觉,知覺,zhī jué,nhận thức/ý thức,N,7,他失去了知觉。,Tā shīqùle zhījué.,Anh ấy đã mất cảm giác.
指令,指令,zhǐ lìng,lệnh/lệnh/chỉ thị,N,7,他发布了新的指令。,Tā fābùle xīn de zhǐlìng.,Anh ấy đã ban hành mệnh lệnh mới.
指南,指南,zhǐ nán,hướng dẫn/sách hướng dẫn,N,7,,,
支票,支票,zhī piào,séc (ngân hàng)/séc/CL:本[ben3],N,7,请把这笔支票填好。,Qǐng bǎ zhè bǐ zhīpiào tián hǎo.,Xin hãy điền vào tờ séc này.
值钱,值錢,zhí qián,có giá trị/đắt đỏ/đắt tiền,Adj,7,,,
汁,汁,zhī,nước ép,N,7,,,
秩序,秩序,zhì xù,trật tự (có trật tự)/trật tự (chuỗi)/trật tự xã hội/trạng thái (của xã hội)/CL:個|个[ge4],N,7,维持社会的秩序很重要。,Wéichí shèhuì de zhìxù hěn zhòngyào.,Duy trì trật tự xã hội rất quan trọng.
止血,止血,zhǐ xuè,cầm máu/cầm máu (thuốc),V,7,,,
质疑,質疑,zhì yí,đặt câu hỏi/hỏi về (sự thật hoặc tính hợp lệ),V,7,,,
职员,職員,zhí yuán,"nhân viên văn phòng/nhân viên/CL:個|个[ge4],位[wei4]",N,7,,,
执照,執照,zhí zhào,giấy phép; giấy phép,N,7,这个执照是有效的。,Zhège zhízhào shì yǒuxiào de.,Giấy phép này là hợp lệ.
制止,制止,zhì zhǐ,kiềm chế/ngăn chặn/dừng lại/kiểm tra/hạn chế,V,7,他制止了他们的争吵。,Tā zhìzhǐle tāmen de zhēngchǎo.,Anh ấy ngăn chặn cuộc cãi vã của họ.
直至,直至,zhí zhì,kéo dài cho đến/cho đến (hiện tại),V,7,,,
脂肪,脂肪,zhī fáng,"chất béo (trong cơ thể, trong thực vật hoặc trong thực phẩm)",N,7,过多的脂肪对健康有害。,Guò duō de zhīfáng duì jiànkāng yǒuhài.,Quá nhiều mỡ có hại cho sức khỏe.
智商,智商,zhì shāng,IQ (chỉ số thông minh),N,7,智商测试可以评估一个人的智力水平。,Zhìshāng cèshì kěyǐ pínggū yīgè rén de zhìlì shuǐpíng.,Kiểm tra IQ có thể đánh giá mức độ thông minh của một người.
指望,指望,zhǐ wàng,trông cậy vào; hy vọng/triển vọng; hy vọng,V/N,7,他指望能在考试中取得好成绩。,Tā zhǐwàng néng zài kǎoshì zhōng qǔdé hǎo chéngjī.,Anh ấy mong đợi có thể đạt được thành tích tốt trong kỳ thi.
指向,指向,zhǐ xiàng,hướng tới/nhắm tới/đối mặt/hướng được chỉ định,V/N,7,,,
指引,指引,zhǐ yǐn,hướng dẫn/chỉ dẫn/chỉ ra (con đường)/hướng dẫn/hướng dẫn/quy định,V,7,,,
之,之,zhī,"(hạt sở hữu, tương đương văn học của 的[de5])/anh ấy/cô ấy/nó",Pron,7,这本书之内容很丰富。,Zhè běn shū zhī nèiróng hěn fēngfù.,Nội dung của cuốn sách này rất phong phú.
之,之,zhī,"(hạt sở hữu, tương đương văn học của 的[de5])/anh ấy/cô ấy/nó",Pron,7,这本书之内容很丰富。,Zhè běn shū zhī nèiróng hěn fēngfù.,Nội dung của cuốn sách này rất phong phú.
之所以,之所以,zhī suǒ yǐ,"(sau danh từ N và trước vị ngữ P) lý do tại sao N P/Ví dụ: 我之所以討厭他|我之所以讨厌他[wo3 zhi1 suo3 yi3 tao3 yan4 ta1] ""lý do tại sao tôi không thích anh ấy (là ...)""",Conj,7,,,
致,"緻,致",zhì,gửi/dành tặng/giao/gây ra/truyền đạt,V,7,,,
致敬,致敬,zhì jìng,chào/tỏ lòng kính trọng/tỏ lòng tôn kính/tỏ lòng tôn kính,V,7,,,
致命,致命,zhì mìng,chí mạng/tử vong/chết người/hi sinh mạng sống của một người,V,7,,,
忠诚,忠誠,zhōng chéng,tận tụy/trung thành/trung tín/lòng trung thành,Adj/N,7,他对国家非常忠诚。,Tā duì guójiā fēicháng zhōngchéng.,Anh ấy rất trung thành với đất nước.
终结,終結,zhōng jié,kết thúc; kết luận/đi đến hồi kết; chấm dứt (cái gì),V,7,,,
终究,終究,zhōng jiū,cuối cùng/sau khi mọi chuyện đã được nói và làm xong,Adv,7,他终究会明白的。,Tā zhōngjiū huì míngbái de.,Cuối cùng anh ấy sẽ hiểu.
重量级,重量級,zhòng liàng jí,"hạng nặng (quyền anh, v.v.)",Adj,7,,,
肿瘤,腫瘤,zhǒng liú,khối u,N,7,他被诊断出患有肿瘤。,Tā bèi zhěnduàn chū huàn yǒu zhǒngliú.,Anh ấy được chẩn đoán mắc khối u.
终生,終生,zhōng shēng,suốt cuộc đời/suốt cuộc đời; suốt đời,N,7,,,
忠实,忠實,zhōng shí,trung thành,Adj,7,他是一个忠实的朋友。,Tā shì yīgè zhōngshí de péngyǒu.,Anh ấy là một người bạn trung thành.
众人,眾人,zhòng rén,mọi người,N,7,,,
忠于,忠於,zhōng yú,trung thành với,V,7,,,
中途,中途,zhōng tú,giữa chừng,N,7,,,
中止,中止,zhōng zhǐ,ngừng/tạm dừng/ngừng lại/dừng lại/ngừng hẳn,V,7,,,
种族,種族,zhǒng zú,chủng tộc/dân tộc,N,7,我们反对种族歧视。,Wǒmen fǎnduì zhǒngzú qíshì.,Chúng tôi phản đối phân biệt chủng tộc.
周到,周到,zhōu dào,chu đáo/chu đáo/chăm chú/kỹ lưỡng/cũng pr. [zhou1 dao5],Adj,7,她对每一件事情都考虑得很周到。,Tā duì měi yī jiàn shìqíng dōu kǎolǜ dé hěn zhōudào.,Cô ấy xem xét mọi việc rất chu đáo.
住处,住處,zhù chù,nơi cư trú; nơi ở,N,7,,,
诸如此类,諸如此類,zhū rú cǐ lèi,những thứ như thế này (thành ngữ); vân vân/và phần còn lại/v.v.,,7,,,
住址,住址,zhù zhǐ,Địa chỉ,N,7,,,
注,"注,註",zhù,đăng ký/ghi chú/lưu ý/bình luận,N/V,7,,,
注定,註定,zhù dìng,định trước/bị ràng buộc/được định sẵn/bị kết án/không thể tránh khỏi,V,7,,,
注入,注入,zhù rù,đổ vào/đổ vào,,7,,,
主,主,zhǔ,chủ sở hữu/chủ nhân/chủ nhà/cá nhân hoặc bên liên quan/Chúa/Chúa tể/chính/để chỉ ra hoặc biểu thị/lá bài chủ (trong trò chơi bài),N,7,,,
主编,主編,zhǔ biān,tổng biên tập,N/V,7,,,
主妇,主婦,zhǔ fù,bà nội trợ/người phụ nữ có quyền lực cao trong gia đình/bà chủ nhà/bà chủ nhà,N,7,,,
主义,主義,zhǔ yì,#NAME?,N,7,,,
主宰,主宰,zhǔ zǎi,thống trị/cai trị/ra lệnh/làm chủ,V/N,7,,,
拽,拽,zhuāi,kéo/giật mạnh (cái gì),V,7,他把东西拽走了。,Tā bǎ dōngxī zhuāi zǒule.,Anh ấy kéo đồ đi.
专长,專長,zhuān cháng,kiến thức hoặc khả năng chuyên môn/đặc biệt,N,7,他在音乐方面很有专长。,Tā zài yīnyuè fāngmiàn hěn yǒu zhuāncháng.,Anh ấy rất có chuyên môn về âm nhạc.
专栏,專欄,zhuān lán,cột đặc biệt,N,7,,,
专注,專注,zhuān zhù,tập trung; tập trung; dành toàn bộ sự chú ý,Adj,7,,,
壮,壯,zhuàng,để tăng cường/mạnh mẽ/khỏe mạnh,Adj/V,7,,,
桩,樁,zhuāng,gốc cây/cọc/đống/bộ phân loại cho các mục,N/M,7,,,
装扮,裝扮,zhuāng bàn,trang trí/trang điểm/ăn mặc/ngụy trang,V,7,,,
撞击,撞擊,zhuàng jī,đánh/đập/đâm,V,7,,,
庄园,莊園,zhuāng yuán,điền trang/đất phong kiến/biệt thự và công viên,N,7,,,
追随,追隨,zhuī suí,đi theo/đi cùng,V,7,,,
追逐,追逐,zhuī zhú,đuổi theo/theo đuổi mạnh mẽ,V,7,,,
追踪,追蹤,zhuī zōng,theo dấu vết/theo dõi/theo đuổi,V,7,,,
准许,准許,zhǔn xǔ,cho phép/cấp/cho phép,V,7,,,
准则,準則,zhǔn zé,chuẩn mực/tiêu chuẩn/tiêu chí,N,7,我们要遵守公司的准则。,Wǒmen yào zūnshǒu gōngsī de zhǔnzé.,Chúng ta phải tuân thủ các quy tắc của công ty.
着手,著手,zhuó shǒu,bắt tay vào việc/bắt đầu một nhiệm vụ/bắt đầu,V,7,我们需要马上着手准备。,Wǒmen xūyào mǎshàng zhuóshǒu zhǔnbèi.,Chúng ta cần bắt tay vào chuẩn bị ngay.
着想,著想,zhuó xiǎng,nghĩ đến (người khác)/xem xét (nhu cầu của người khác)/cũng như [zhao2 xiang3],V,7,他总是为别人着想。,Tā zǒng shì wèi biérén zhuóxiǎng.,Anh ấy luôn nghĩ cho người khác.
自称,自稱,zì chēng,tự gọi mình/tự nhận mình là/tuyên bố/tuyên bố một danh hiệu,V,7,,,
兹,茲,zī,bây giờ/ở đây/này/thời gian/năm,Pron,7,,,
滋味,滋味,zī wèi,hương vị/cảm giác/vị giác,N,7,这道菜的滋味很好。,Zhè dào cài de zīwèi hěn hǎo.,Hương vị của món ăn này rất ngon.
自负,自負,zì fù,tự phụ/chịu trách nhiệm,Adj/V,7,,,
自如,自如,zì rú,không bị cản trở/không bị ràng buộc/trơn tru/dễ dàng/tự do,Adj,7,,,
自私,自私,zì sī,ích kỷ/ích kỷ,Adj,7,他有点儿自私。,Tā yǒudiǎn er zìsī.,Anh ấy hơi ích kỷ.
自卫,自衛,zì wèi,để tự vệ/tự vệ,V,7,,,
自以为是,自以為是,zì yǐ wéi shì,tin rằng mình không thể sai lầm (thành ngữ)/có ý kiến,,7,,,
自责,自責,zì zé,tự trách mình,V,7,,,
姿势,姿勢,zī shì,tư thế/vị trí,N,7,你的姿势很优雅。,Nǐ de zīshì hěn yōuyǎ.,Tư thế của bạn rất duyên dáng.
姿态,姿態,zī tài,thái độ/tư thế/lập trường,N,7,她的姿态非常优雅。,Tā de zītài fēicháng yōuyǎ.,Tư thế của cô ấy rất thanh lịch.
自尊,自尊,zì zūn,lòng tự trọng/lòng tự trọng/cái tôi/lòng tự hào,V,7,,,
宗,宗,zōng,"trường học/giáo phái/mục đích/mô hình/tổ tiên/gia tộc/lấy làm mô hình (trong công việc học thuật hoặc nghệ thuật)/phân loại cho các lô, mặt hàng, trường hợp (y tế hoặc pháp lý), hồ chứa",M,7,,,
揍,揍,zòu,đánh; đánh (ai đó)/(ai đó) đập (ai đó),V,7,他被人揍了一顿。,Tā bèi rén zòu le yī dùn.,Anh ấy bị người ta đánh một trận.
奏效,奏效,zòu xiào,để hiển thị kết quả; để có hiệu quả,,7,,,
走廊,走廊,zǒu láng,hành lang/lối đi/hành lang/lối đi/hiên nhà,N,7,学校的走廊很宽敞。,Xuéxiào de zǒuláng hěn kuānchǎng.,Hành lang của trường rất rộng rãi.
阻挡,阻擋,zǔ dǎng,ngăn chặn/chống lại/cản trở,V,7,,,
组建,組建,zǔ jiàn,tổ chức/thiết lập/thành lập,V,7,,,
祖先,祖先,zǔ xiān,tổ tiên; tổ tiên/(sinh học) loài tổ tiên; loài cổ xưa mà từ đó các loài ngày nay tiến hóa,N,7,,,
钻石,鑽石,zuàn shí,kim cương/CL:顆|颗[ke1],N,7,她收到了一颗钻石戒指。,Tā shōudào le yī kē zuànshí jièzhǐ.,Cô ấy đã nhận được một chiếc nhẫn kim cương.
嘴唇,嘴唇,zuǐ chún,môi/CL:片[pian4],N,7,她的嘴唇很红润。,Tā de zuǐchún hěn hóngrùn.,Môi của cô ấy rất hồng hào.
罪犯,罪犯,zuì fàn,tội phạm,N,7,,,
尊贵,尊貴,zūn guì,được tôn trọng/đáng kính/đáng kính,Adj,7,,,
尊严,尊嚴,zūn yán,phẩm giá/sự thánh thiện/danh dự/sự uy nghiêm,N,7,他一直保持着自己的尊严。,Tā yīzhí bǎochí zhe zìjǐ de zūnyán.,Anh ấy luôn giữ gìn lòng tự trọng của mình.
作风,作風,zuò fēng,phong cách/phong cách làm việc/cách thức,N,7,公司需要改进作风。,Gōngsī xūyào gǎijìn zuòfēng.,Công ty cần cải thiện tác phong.
作弊,作弊,zuò bì,thực hiện hành vi gian lận/gian lận/tham gia vào các hành vi tham nhũng,,7,作弊是不道德的行为。,Zuòbì shì bù dàodé de xíngwéi.,Gian lận là hành vi không đạo đức.
挨家挨户,挨家挨戶,āi jiā āi hù,đi từ nhà này sang nhà khác,,8,,,
哀求,哀求,āi qiú,cầu xin/cầu khẩn/nài nỉ,V,8,,,
碍事,礙事,ài shì,cản đường; là trở ngại/(thường ở nghĩa tiêu cực) có tầm quan trọng; có ý nghĩa quan trọng,,8,,,
艾滋病,艾滋病,ài zī bìng,AIDS (từ mượn),N,8,,,
暗地里,暗地裡,àn dì lǐ,một cách bí mật; bên trong; một cách lén lút,N,8,,,
安抚,安撫,ān fǔ,xoa dịu/làm dịu/làm nguôi ngoai,V,8,,,
按键,按鍵,àn jiàn,nút hoặc phím (trên thiết bị)/phím tắt/CL:個|个[ge4]/nhấn nút,N,8,,,
安稳,安穩,ān wěn,ổn định; ổn định; bình tĩnh; (của giấc ngủ) âm thanh; (của sự chuyển đổi) trơn tru,Adj,8,,,
昂贵,昂貴,áng guì,đắt tiền/tốn kém,Adj,8,这块手表非常昂贵。,zhè kuài shǒubiǎo fēicháng ángguì.,Chiếc đồng hồ này rất đắt tiền.
奥秘,奧祕,ào mì,bí mật/bí ẩn,N,8,这个问题充满了奥秘。,zhè gè wèntí chōngmǎn le àomì.,Vấn đề này đầy bí ẩn.
凹,凹,āo,biến thể của 窪|洼[wa1]/(dùng trong tên),Adj,8,,,
熬夜,熬夜,áo yè,thức khuya hoặc thức trắng đêm,,8,他经常熬夜工作。,Tā jīngcháng áoyè gōngzuò.,Anh ấy thường xuyên thức khuya làm việc.
奥运会,奧運會,ào yùn huì,Thế vận hội Olympic; Thế vận hội (viết tắt của 奧林匹克運動會|奥林匹克运动会[Ao4 lin2 pi3 ke4 Yun4 dong4 hui4]),N,8,,,
把柄,把柄,bǎ bǐng,xử lý/(hình) thông tin có thể được sử dụng để chống lại ai đó,N,8,,,
巴不得,巴不得,bā bù dé,(coll.) háo hức/mong đợi/trông đợi,V,8,我巴不得快点放假。,wǒ bābudé kuài diǎn fàngjià.,Tôi mong muốn nhanh chóng được nghỉ.
扒,扒,bā,cào lên/trộm/om/bò,V,8,他用力扒开了门。,tā yònglì bā kāi le mén.,Anh ấy đã cố gắng mở cửa.
靶子,靶子,bǎ zi,mục tiêu,N,8,,,
掰,掰,bāi,phá vỡ hoặc bẻ gãy cái gì bằng tay/(hình) phá vỡ (một mối quan hệ),V,8,他用力掰开了苹果。,tā yònglì bāi kāi le píngguǒ.,Anh ấy dùng lực tách quả táo ra.
摆放,擺放,bǎi fàng,thiết lập; sắp xếp; bố trí,V,8,,,
摆设,擺設,bǎi shè,vật trang trí/vật trang trí/(hình) thứ gì đó chỉ để trưng bày,N,8,,,
颁布,頒布,bān bù,"ban hành/công bố/ban hành (luật, nghị định, v.v.)",V,8,政府颁布了新的法律。,zhèngfǔ bānbù le xīn de fǎlǜ.,Chính phủ đã ban hành luật mới.
斑点,斑點,bān diǎn,đốm/vết bẩn/vết lốm đốm,N,8,,,
颁发,頒發,bān fā,ban hành/ban hành/trao thưởng,V,8,他们获得了奖状。,tāmen huòdé le jiǎngzhuàng.,Họ đã nhận được bằng khen.
拌,拌,bàn,trộn/trộn vào/trộn (một món salad),V,8,,,
扳,扳,bān,biến thể của 攀[pan1],V,8,,,
半岛,半島,bàn dǎo,bán đảo,N,8,,,
半路,半路,bàn lù,nửa đường/giữa đường/trên đường đi,N,8,,,
半途而废,半途而廢,bàn tú ér fèi,bỏ cuộc giữa chừng (thành ngữ); bỏ dở việc gì đó,,8,他总是半途而废。,tā zǒng shì bàntú'érfèi.,Anh ấy luôn bỏ cuộc giữa chừng.
伴奏,伴奏,bàn zòu,đệm (bằng âm nhạc),V,8,,,
半数,半數,bàn shù,một nửa số; một nửa,N,8,,,
豹,豹,bào,báo hoa mai/báo đen,N,8,,,
报废,報廢,bào fèi,loại bỏ; vứt bỏ (cái gì đó cũ hoặc hư hỏng),,8,,,
堡垒,堡壘,bǎo lěi,pháo đài,N,8,,,
保暖,保暖,bǎo nuǎn,để giữ ấm,,8,,,
包袱,包袱,bāo fú,vải bọc/một bó được bọc trong vải/tải/trọng lượng/gánh nặng/phần hài hước/câu đùa,N,8,我们需要解决这个问题的包袱。,wǒmen xūyào jiějué zhè gè wèntí de bāofu.,Chúng ta cần giải quyết gánh nặng của vấn đề này.
包容,包容,bāo róng,tha thứ/tha thứ/thể hiện sự khoan dung/kiềm chế/giữ lại/bao gồm,V,8,,,
抱负,抱負,bào fù,khát vọng/tham vọng,N,8,他从小就有伟大的抱负。,tā cóng xiǎo jiù yǒu wěidà de bàofù.,Anh ấy có hoài bão lớn từ khi còn nhỏ.
报销,報銷,bào xiāo,nộp báo cáo chi phí/xin hoàn trả/xóa sổ/xóa sổ,V,8,这些费用可以报销。,zhèxiē fèiyòng kěyǐ bàoxiāo.,Những chi phí này có thể được hoàn trả.
